,density,nelements,volume,band_gap,total_magnetization,energy_grav,energy_vol,num_steps,max_voltage_step,stability_discharge,e_fermi,nsites,num_unique_elements,avg_atomic_number,min_atomic_number,max_atomic_number,avg_atomic_mass,min_atomic_mass,max_atomic_mass,avg_electronegativity,min_electronegativity,max_electronegativity,avg_covalent_radius,min_covalent_radius,max_covalent_radius,std_electronegativity,ionic_radius_ion,atomic_weight_ion,charge_ion,atomic_number_ion,electronegativity_ion,working_ion_Li,working_ion_Mg,working_ion_Na,crystal_system_Cubic,crystal_system_Hexagonal,crystal_system_Monoclinic,crystal_system_Orthorhombic,crystal_system_Tetragonal,crystal_system_Triclinic,crystal_system_Trigonal,is_metal_False,is_metal_True,theoretical_False,theoretical_True,exp_band_gap,exp_energy_vol,theo_band_gap,theo_energy_vol,material_id,formula_pretty
3280,-0.9395984431246216,1.9877844539589384,1.2425407388008418,-0.8088329732741192,0.6886713960743549,-0.4087638063016691,-0.3896634018989587,-0.338524243070804,-0.2807209093712016,-0.3971032079195798,-0.7205186740932276,1.276049632676468,1.9877844539589384,-0.3916405577173692,-0.2511629276263421,-0.1779977058892494,-0.3934404606046855,-0.3061498863121502,-0.1782930583335248,-0.33468128836246,-1.1436720509375362,-0.0827529746914719,0.6247121589506414,0.3820071422726114,0.8589843391803406,-0.3643398397376312,4.308986414502856,1.280440150771868,-0.6305282887554627,1.213432280049126,-0.9390439540519464,0,0,1,0,0,0,1,0,0,0,0,1,0,1,-0.0,-0.0,-0.8088329732741192,-0.3896634018989587,mp-780892,Na4Fe2As(CO4)4
2355,-0.7551282673076832,1.9877844539589384,2.502059968626783,-0.8088329732741192,-0.1310922095024844,-0.1329284030874324,-0.1759172458465867,-0.338524243070804,-0.2807209093712016,-0.3661070441701512,-1.0294077204585803,2.102594348255908,1.9877844539589384,-0.2012444689554545,-1.2905098173233371,0.2413369799106529,-0.2107669603802938,-1.2017296123814427,0.1911623493402341,-1.0636309850894514,-1.0181169576709177,-0.0827529746914719,0.100986596492036,0.3820071422726114,-0.4170750460042923,-0.2366168176550455,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,1,0,0,1,0,1,-0.0,-0.0,-0.8088329732741192,-0.1759172458465867,mp-759723,Li2Zr7Fe(PO4)12
3020,-0.4822179539279857,1.9877844539589384,0.3072729017816182,-0.7997163674209694,0.3607406655159427,-0.2903488340823661,-0.2793630464245892,-0.338524243070804,-0.2807209093712016,0.0400276452330461,0.994923903555602,0.346186827649598,1.9877844539589384,0.2509462418540935,0.4417349988383212,0.3012419350249247,0.1853020702264385,0.4065964612361117,0.2293893000574388,-0.5923273018607927,0.5387661988351551,-0.0827529746914719,0.3012346056673852,0.3820071422726114,0.0856150148260176,-0.9982469923882684,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,0,1,1,0,0,1,-0.0,-0.0,-0.7997163674209694,-0.2793630464245892,mp-774893,NbV3Cr2(PO4)6
2550,-0.6276321066501199,1.9877844539589384,-0.1171965964297099,0.134485276322115,-0.7860300880092261,1.0088877026104155,0.6465432326501577,4.280153053479371,4.239405627952716,-0.6153244831033172,-0.4491256355164953,-0.0670855301401219,1.9877844539589384,-0.510638113193566,0.4417349988383212,-0.7171423019176952,-0.5152710643451872,0.4065964612361117,-0.6979746223395503,0.9032763862514828,0.6140992547951258,1.7241174339768628,-0.8078312913037823,-1.5543553622991026,-0.6104173770928731,0.322638034630878,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.134485276322115,0.6465432326501577,mp-765139,VCrP2(O4F)2
2632,-0.5918584348753954,-0.6561991151099974,2.265848121786717,-0.8088329732741192,-0.7857287037645385,-0.251220642612237,-0.2489625275057805,-0.338524243070804,-0.2807209093712016,-0.5715524539016867,1.7104616595899742,1.017754409057893,-0.6561991151099974,0.2668125825842526,3.2133267046969745,-0.4176175263463364,0.1504986944983248,3.2788498592923085,-0.4360663883300605,-0.8981510252002773,0.3881000869152124,-2.960361403311412,-0.6537943611688979,-0.9848369786015396,-0.6877543095283054,-2.1830250952731576,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,0,0,0,1,0,1,0,1,-0.0,-0.0,-0.8088329732741192,-0.2489625275057805,mp-767157,Ti16CuS32
552,2.3326602651605364,0.6657926694244705,-0.1564643227995876,-0.8088329732741192,-0.7860163429282981,-0.6947010913895496,-0.5865412341287172,-0.338524243070804,-0.2807209093712016,0.187415715322072,2.270481777731809,-0.5320169326535569,0.6657926694244705,0.7923851192707893,0.0952860356059895,2.158295543567349,0.8569297975973982,0.0505807329722857,2.16941503949154,-0.5813302159187912,-1.1436720509375362,-1.0196487421491265,1.1368849516491322,0.7237181724911492,0.8589843391803406,0.7118041832643112,4.308986414502856,1.280440150771868,-0.6305282887554627,1.213432280049126,-0.9390439540519464,0,0,1,0,0,1,0,0,0,0,0,1,0,1,-0.0,-0.0,-0.8088329732741192,-0.5865412341287172,mp-1220753,NaHf6(NCl)6
1108,-0.6597803790128524,0.6657926694244705,0.1686071608300518,-0.8088329732741192,-0.1307340837943948,0.7421012406342666,0.5119637459408362,1.9708144052042835,2.6688161224443334,-0.5222656073889272,-0.1524801757881461,0.346186827649598,0.6657926694244705,-0.9033300462650156,-1.2905098173233371,-0.7171423019176952,-0.8607586944062352,-1.2017296123814427,-0.6979746223395503,-0.7070111981131002,-1.0181169576709177,-0.0827529746914719,-0.1339197219636634,0.3820071422726114,-0.6104173770928731,0.1752291136223546,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.0,0.0,-0.8088329732741192,0.5119637459408362,mp-26870,LiCr2(PO4)3
1528,-0.8433374383920225,-0.6561991151099974,-0.0948706929437346,0.4306246928266264,0.5246005590060964,0.9744031956225764,0.5995377141190061,-0.338524243070804,-0.2807209093712016,-0.8019631933220265,-1.2659439194096906,-0.2737217090349819,-0.6561991151099974,-0.4075068984475287,0.4417349988383212,-0.53742743657488,-0.4432188194029752,0.4065964612361117,-0.5407211013175413,0.662387837045724,1.2418747211282195,-0.0827529746914719,-0.2173563924533931,0.3820071422726114,-0.4944119784397246,-0.8125441148359771,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.4306246928266264,0.5995377141190061,mp-689943,CoPO4
669,0.8656486978873665,0.6657926694244705,-0.3970800008505701,-0.8088329732741192,-0.6221486103186876,-0.1770502916825328,0.0456363270167081,-0.338524243070804,-0.2807209093712016,-0.7970390409155097,0.0248106957374548,-0.5320169326535569,0.6657926694244705,1.6551173964732162,0.4417349988383212,2.8172500498243385,1.725077877704618,0.4065964612361117,2.860577132121187,-0.1728670237872877,-0.1894533421112337,-0.0827529746914719,0.1356449057723841,0.3820071422726114,0.0856150148260176,-0.5340311524266744,-0.6780932454973677,1.4429944633676537,1.5859716650838942,1.4529895410674205,1.5821495553169382,0,1,0,0,0,1,0,0,0,0,0,1,0,1,-0.0,0.0,-0.8088329732741192,0.0456363270167081,mp-1342713,Mg3Bi2(AsO6)2
2851,0.5072442738979389,0.6657926694244705,-0.4893565463199163,-0.8088329732741192,0.1973238665804019,1.39139972929677,1.3950481720301349,1.9708144052042835,3.3116108661519963,0.2253182922223863,0.634691927046536,-0.2737217090349819,0.6657926694244705,0.048650397544559,0.4417349988383212,-0.53742743657488,-0.0103926455909181,0.4065964612361117,-0.5407211013175413,-0.5970403386930795,0.3881000869152124,-0.0827529746914719,0.3474456847078501,0.3820071422726114,-0.3010696473511439,-0.4456580632548274,-0.0131492908306707,-0.7034641555777603,-0.6305282887554627,-0.7030258080972299,-0.6073079659770937,1,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.0,0.0,-0.8088329732741192,1.3950481720301349,mp-771910,Ti2Mn3Co3O16
