material_id,energy_above_hull,elements,density,formula_pretty,nelements,volume,band_gap,is_metal,total_magnetization,theoretical,battery_type,working_ion,average_voltage,theoretical_capacity_grav,theoretical_capacity_vol,energy_grav,energy_vol,num_steps,max_voltage_step,stability_charge,stability_discharge
mp-753897,0.07531749499998201,"['Fe', 'Li', 'Nb', 'O']",4.322489013486939,Li2Nb2Fe3O10,4.0,202.53970515323502,1.5532,False,13.9979365,True,insertion,Li,1.716023686666668,146.7109183094006,663.3385959103218,251.75941091155008,1138.304742862322,2.0,1.338947767500016,0.07531749499998201,0.073103301437498
mp-753904,0.097957289750006,"['F', 'Mn', 'O']",4.039520471460775,Mn7O7F,3.0,211.9331707107437,0.0,True,33.9996496,True,insertion,Li,1.7512002266667062,51.29455171287174,197.12798449531044,89.82703058634806,345.21057113053854,1.0,0.0,0.097957289750006,0.12958046312499802
mp-753907,0.11119605037037501,"['O', 'Si', 'V']",2.892990042049003,V(SiO3)2,3.0,699.4913739529002,1.8442999999999992,False,0.0005204,True,insertion,Li,2.7705274366666632,127.5957815041278,399.1660444759995,353.5076134601109,1105.9004780064624,1.0,0.0,0.11119605037037501,0.029251357374999003
mp-753924,0.043178868461536006,"['Co', 'Li', 'O', 'P']",3.006961222373138,LiCo2(PO4)2,4.0,347.62993059239824,0.33689999999999903,False,14.0000903,True,insertion,Li,4.188018506666674,83.31433471104175,248.72321766206784,348.92197564046455,1041.6574386064235,1.0,0.0,0.043178868461536006,0.0
mp-753925,0.058521745630260004,"['Nb', 'O', 'V']",4.491170068575703,Nb4VO12,3.0,454.44753785344767,1.878099999999999,False,0.0007337,True,insertion,Li,1.9085370966666622,126.5448811412491,592.4214917575971,241.51560005134746,1130.6583938819776,1.0,0.0,0.058521745630260004,0.028146736468759002
mp-753937,0.077744084318181,"['Ho', 'O', 'V']",5.536187807285252,Ho2V2O7,3.0,163.0906706205035,0.506599999999999,False,2.0000734,True,insertion,Mg,-0.223814817500001,94.3640294951708,503.7793778913957,-21.120068040026446,-112.7532895230272,1.0,0.0,0.077744084318181,0.174400892916656
mp-753941,0.097588626565657,"['Cr', 'Li', 'O']",3.8291856080869353,Li2Cr3O6,3.0,230.5879563140774,0.003899999999999,False,16.000088,True,insertion,Li,3.483386659166667,98.24312563525112,397.99109356947616,342.2187931926685,1386.3568658070658,1.0,0.0,0.097588626565657,0.034043173125
mp-753949,0.087697268571422,"['Li', 'Mn', 'O', 'V']",3.927184581659662,LiMnVO4,4.0,149.52871776256558,0.0,True,10.0008418,True,insertion,Li,2.028286866666671,145.8511419682753,582.787544408132,295.82795574258887,1182.0603223799335,1.0,0.0,0.087697268571422,0.07105671406250001
mp-753965,0.089174198361104,"['Li', 'Mn', 'O', 'Si']",2.971279379452573,Li3Mn2(SiO4)2,4.0,351.93332432958033,0.0,True,0.0,True,insertion,Li,3.697529276666652,83.28451611484627,254.0335402451265,307.9469366276597,939.2964523116314,1.0,0.0,0.089174198361104,0.0
mp-753998,0.09920456122917001,"['Fe', 'Li', 'Mn', 'O']",3.937170937659773,Li2Mn3(FeO4)3,4.0,227.00103317787693,0.1401,False,23.0013357,True,insertion,Li,2.874777831666676,189.41379833733657,780.2860611574158,544.5225884719576,2243.1490709738478,2.0,0.519330049999998,0.09920456122917001,0.030351781562499004
mp-753999,0.111089957884606,"['Cr', 'Li', 'O', 'P']",2.572687496543846,LiCr2(PO4)2,4.0,388.4002442368597,0.0,True,14.0004278,True,insertion,Li,2.545237761666664,87.06955029335518,244.70026829714294,221.6127072979824,622.8203631598524,1.0,0.0,0.111089957884606,0.05551183919641801
mp-754003,0.058933440833333,"['F', 'O', 'W']",4.588357374726147,WOF4,3.0,199.64944149090616,4.8905,False,0.0,True,insertion,Mg,1.096647587499998,93.06537986852472,414.30093109743973,102.05992431258858,454.34211658701054,1.0,0.0,0.058933440833333,0.140118389663468
mp-754012,0.074035491574075,"['C', 'Mn', 'O']",2.810857554656713,Mn(CO3)2,3.0,206.71343880177184,1.245199999999999,False,1.4700000000000002e-05,True,insertion,Li,3.950942654166676,147.34439811401836,452.7264733060239,582.1492673611912,1788.6963340552209,1.0,0.0,0.074035491574075,0.0
mp-754014,0.077934768333335,"['F', 'Mn', 'O']",3.3230113534317463,Mn4OF8,3.0,387.5132317382541,0.733,False,35.9994549,True,insertion,Li,3.120575314166667,133.46659720640673,476.05119238942166,416.4925685081387,1485.5535992500359,1.0,0.0,0.077934768333335,0.079862662166668
