material_id,energy_above_hull,elements,density,formula_pretty,nelements,volume,band_gap,is_metal,total_magnetization,theoretical,battery_type,working_ion,average_voltage,theoretical_capacity_grav,theoretical_capacity_vol,energy_grav,energy_vol,num_steps,max_voltage_step,stability_charge,stability_discharge,e_fermi,nsites,crystal_system
mp-2224849,0.084356068055551,"['Mn', 'O', 'S']",3.199762691047923,MnSO5,3.0,173.33166589028437,0.1986,False,5.9988188000000005,True,insertion,Li,4.190819526666653,78.61029934926262,247.2858851237664,329.4415775100006,1036.3305160457269,1.0,0.0,0.084356068055551,0.073015247194443,0.74319694,14,Triclinic
mp-2225402,0.146927081428565,"['Mg', 'Mn', 'O']",3.834363654144846,MgMn2O4,3.0,85.82479039432793,1.1504,False,8.0000401,True,insertion,Mg,0.4362987825,240.92985104089104,1029.5560216415367,105.11740067704729,449.1940387577468,1.0,0.0,0.146927081428565,0.192696504999999,2.13809593,7,Monoclinic
mp-2226385,0.022103233717934,"['Fe', 'O', 'P']",3.115723493080458,Fe(PO3)3,3.0,624.1130054769919,2.9129,False,20.0568318,True,insertion,Li,3.298092309166672,89.42713542137633,272.6316249101591,294.93894756404774,899.1642653518085,1.0,0.0,0.022103233717934,0.003014160892856,1.22933494,52,Monoclinic
mp-2229132,0.076950828592444,"['Mg', 'Mo', 'O']",4.575286198790439,Mg(MoO3)4,3.0,217.78297046892308,0.9870999999999992,False,1.999998199999999,True,insertion,Zn,-3.090230657500004,146.68145337614894,800.7234350190439,-453.27952410963286,-2474.4201070745617,1.0,0.0,0.076950828592444,0.114034474605261,2.50623475,17,Triclinic
mp-2229155,0.069742395555541,"['Mg', 'Na', 'Ni', 'O']",4.582241605815943,Na2Mg(NiO2)5,4.0,189.79792043974345,0.566099999999999,False,4.0000004,True,insertion,Na,0.484286354999999,94.08566419736076,445.1878055938776,45.5644033718938,215.5983796615074,1.0,0.0,0.069742395555541,0.070518095500005,3.14603045,18,Triclinic
mp-2233607,0.089831966153838,"['Co', 'Mg', 'O']",4.734019151643813,Mg(CoO2)4,3.0,136.109276658815,0.632799999999999,False,6.0020497,True,insertion,Zn,-2.862387262499999,206.62180223974053,1119.9220212818225,-591.4316148858271,-3205.6505287103414,1.0,0.0,0.089831966153838,0.220945641145837,1.9695077300000001,13,Monoclinic
mp-2234110,0.0,"['Cu', 'O', 'V']",3.761738403233878,V2CuO6,3.0,115.40065872957562,0.523699999999999,False,0.9995685,False,insertion,Mg,0.657736162499998,187.59978738953848,744.4685550154136,123.3911642434106,489.6638904777569,1.0,0.0,0.0,0.146970259000003,1.1243986,9,Triclinic
mp-2234285,0.199470641999999,"['Mn', 'O', 'Ti']",4.399474971888604,TiMnO3,3.0,113.83843812847203,1.3274,False,10.0000687,True,insertion,Mg,-1.360030107499997,164.47091905451933,742.0801536790165,-223.6854017223413,-1009.2513511816876,1.0,0.0,0.199470641999999,0.383417819278998,3.90089533,10,Monoclinic
mp-22355,0.0,"['In', 'O', 'Sb', 'Sr']",6.06629591287356,Sr2InSbO6,4.0,278.0100614586075,1.7824,False,0.0,False,insertion,Mg,-1.516498847499991,51.54459090639018,282.0000578070307,-78.16731270439924,-427.65276265929305,1.0,0.0,0.0,0.156888410476188,3.70141075,20,Monoclinic
mp-2236380,0.176822259999999,"['Mn', 'O', 'Zn']",4.552170144653761,Mn2ZnO4,3.0,174.57091544470765,0.328799999999999,False,16.0006506,True,insertion,Zn,-3.587863547499998,175.92525182005383,943.7013918780904,-631.195798089929,-3385.871823644412,1.0,0.0,0.176822259999999,0.272527879374999,2.34323353,14,Triclinic
mp-2236419,0.030974155694443,"['Fe', 'O', 'P']",2.813385028604076,FePO4,3.0,267.0481911689285,2.5353,False,14.9637739,True,insertion,Li,2.490232725000001,169.89052558677983,420.231890892196,423.06694648364913,1046.4752067883765,1.0,0.0,0.030974155694443,0.066797857619047,-0.20684803000000002,18,Monoclinic
mp-2236422,0.095530250833304,"['Co', 'O', 'V']",3.319195677689322,V5CoO12,3.0,252.96013051375897,1.0072,False,1e-07,True,insertion,Li,2.2131901666666582,103.17875560329108,357.3206297288339,228.3542073101062,790.8185040629934,1.0,0.0,0.095530250833304,0.166257447499999,1.09763299,18,Triclinic
mp-2236644,0.028948351428571,"['Nb', 'O', 'V']",3.719148244270734,NbVO5,3.0,199.88618021397207,1.752,False,1.55e-05,True,insertion,Mg,0.3212614975,113.56685885819532,422.24642454734,36.48465914315507,135.65151866409963,1.0,0.0,0.028948351428571,0.148359822333334,-0.23411567,14,Tetragonal
mp-2237154,0.147742872777762,"['Cr', 'Ge', 'O']",4.211510356863677,Cr(GeO3)2,3.0,231.2664114031107,0.6980000000000001,False,4.0000275,True,insertion,Na,2.105429509999998,84.74447870869932,371.3801822120125,178.4235262828621,781.9147950583476,1.0,0.0,0.147742872777762,0.0,0.68334754,18,Triclinic
mp-22427,0.023437812589278,"['Ba', 'Fe', 'O', 'Sr']",4.349906798111259,BaSr(FeO2)4,4.0,220.00598460279485,0.6352,False,20.0000001,False,insertion,Mg,-0.674938692500002,89.24497973239936,377.2616081291868,-60.23488993277483,-254.6284565211616,1.0,0.0,0.023437812589278,0.179259869690469,1.92524923,14,Trigonal
