material_id,energy_above_hull,density,formula_pretty,nelements,volume,band_gap,total_magnetization,battery_type,average_voltage,theoretical_capacity_grav,theoretical_capacity_vol,energy_grav,energy_vol,num_steps,max_voltage_step,stability_charge,stability_discharge,e_fermi,nsites,num_unique_elements,avg_atomic_number,min_atomic_number,max_atomic_number,avg_atomic_mass,min_atomic_mass,max_atomic_mass,avg_electronegativity,min_electronegativity,max_electronegativity,avg_covalent_radius,min_covalent_radius,max_covalent_radius,std_electronegativity,ionic_radius_ion,atomic_weight_ion,charge_ion,atomic_number_ion,electronegativity_ion,working_ion_Li,working_ion_Mg,working_ion_Na,crystal_system_Cubic,crystal_system_Hexagonal,crystal_system_Monoclinic,crystal_system_Orthorhombic,crystal_system_Tetragonal,crystal_system_Triclinic,crystal_system_Trigonal,is_metal_False,is_metal_True,theoretical_False,theoretical_True
mp-1025500,0.002763122499999,4.643424525032392,ZnCu2SnS4,4.0,157.15960498629568,0.0,0.0,insertion,-1.1972118074999991,115.57942258919778,476.19627197000096,-138.37304942781975,-570.1077994899663,1.0,0.0,0.002763122499999,0.236096013472222,4.70473245,8,4.0,31.25,16.0,50.0,69.9325,32.07,118.71,2.0225,1.65,2.58,169.0,139.0,217.0,0.3951687403291579,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,1,0,0,0,1,1,0
mp-10335,0.0184028185,6.81517908227798,Ba2CuTeO6,4.0,136.88339784072446,0.0,0.8845678,insertion,-0.6922040625000021,91.45680643439476,476.7866420168674,-63.30677295716445,-330.03365054981015,1.0,0.0,0.0184028185,0.280332075000012,3.83223411,10,4.0,36.25,8.0,56.0,86.11975,15.999,137.33,2.0825,0.89,3.44,191.5,140.0,268.0,1.0485664817581508,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,1,0,0,0,1,1,0
mp-10350,0.0,6.126591975839927,BaNdCuBO5,5.0,236.30337204893848,0.0,0.0125822,insertion,-2.767430332500001,59.81465432804046,328.82189886027805,-165.53288871542162,-909.991696896181,1.0,0.0,0.0,0.378273116263167,3.45778895,18,5.0,31.6,5.0,60.0,74.3858,10.81,144.24,1.8820000000000001,0.89,3.44,196.2,140.0,268.0,0.998408733936157,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,1,0,0,0,1,1,0
mp-1038715,0.041189368333334,5.547499839476751,CeMg,2.0,49.21631397382627,0.0,0.0,insertion,-0.025806178571428,1486.9325430217475,3290.91119917194,-38.372046728887554,-84.92584206854508,1.0,0.0,0.041189368333334,0.074557085312499,6.23429768,2,2.0,35.0,12.0,58.0,82.21050000000001,24.305,140.116,1.215,1.12,1.31,204.0,173.0,235.0,0.134350288425444,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1038829,0.0553051475,5.294064061719,MgCd,2.0,42.88241630298117,0.0,0.0,insertion,0.000989236071429,1573.2987384749006,3523.8145603279245,1.5563638632334271,3.48588447210381,1.0,0.0,0.0553051475,0.010228627812499,3.31513193,2,2.0,30.0,12.0,48.0,68.3575,24.305,112.41,1.5,1.31,1.69,165.5,158.0,173.0,0.268700576850888,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1038949,0.069256505,2.78786420974778,CeMg5,2.0,155.84155799453262,0.0,1.3551586,insertion,-0.059642919999999,345.54578254850287,865.0462359159982,-20.609359464877425,-51.59388344503819,1.0,0.0,0.069256505,0.08849697,4.00503065,6,2.0,35.0,12.0,58.0,82.21050000000001,24.305,140.116,1.215,1.12,1.31,204.0,173.0,235.0,0.134350288425444,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1038961,0.135871751249999,1.631883430354595,CaMg,2.0,65.51355622934754,0.0,0.0052422,insertion,-0.009719396517857,1854.5308500621247,3299.6649409236165,-18.02492068635265,-32.07075193690864,1.0,0.0,0.135871751249999,0.045008384687499,2.37665474,2,2.0,16.0,12.0,20.0,32.192499999999995,24.305,40.08,1.155,1.0,1.31,202.0,173.0,231.0,0.21920310216782976,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1039074,0.156762659999996,6.887500884946844,MgBi,2.0,56.24384328052211,0.0,0.0003207,insertion,-1.270648180236486,2071.1115843759057,3803.179129393495,-2631.654165753951,-4832.502639877229,1.0,0.0,0.156762659999996,0.005512710616666,5.12161693,2,2.0,47.5,12.0,83.0,116.6427,24.305,208.9804,1.665,1.31,2.02,190.0,173.0,207.0,0.5020458146424487,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1039124,0.0156724575,5.388422913560682,MgCd,2.0,42.13148497642119,0.0,3e-07,insertion,0.010431084999999,578.4721225378822,2081.181303232413,6.034091880322812,21.70897907442717,1.0,0.0,0.0156724575,0.017591733749999,3.39837739,2,2.0,30.0,12.0,48.0,68.3575,24.305,112.41,1.5,1.31,1.69,165.5,158.0,173.0,0.268700576850888,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,1,0,0,0,1,0,1
mp-1039273,0.0470831325,1.754477517636203,CaMg5,2.0,152.95043229810292,0.0,0.0,insertion,-0.004663919027777,2108.091788543948,3788.7637534634687,-9.831969404892128,-17.670487361532885,1.0,0.0,0.0470831325,0.010838049833333,3.16182054,6,2.0,16.0,12.0,20.0,32.192499999999995,24.305,40.08,1.155,1.0,1.31,202.0,173.0,231.0,0.21920310216782976,0.72,24.305,2,12,1.31,0,1,0,0,1,0,0,0,0,0,0,1,0,1
mp-1039305,0.071178874999997,6.877108466466584,MgBi,2.0,56.328836786028006,0.0,0.0018899,insertion,-1.2957925149999991,648.7393221499894,2429.097460016486,-840.6315578281299,-3147.606306894874,1.0,0.0,0.071178874999997,0.083708645416665,4.85196552,2,2.0,47.5,12.0,83.0,116.6427,24.305,208.9804,1.665,1.31,2.02,190.0,173.0,207.0,0.5020458146424487,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,0,0,1,0,1,0,1
mp-1039393,0.066822383333333,1.747231997592546,CaMg2,2.0,168.57508235574358,0.0,0.000429199999999,insertion,-0.0119418925,474.39188525596967,833.4720495478576,-5.665136896599281,-9.953233617455464,1.0,0.0,0.066822383333333,0.05608773375,2.89853231,6,2.0,16.0,12.0,20.0,32.192499999999995,24.305,40.08,1.155,1.0,1.31,202.0,173.0,231.0,0.21920310216782976,0.72,24.305,2,12,1.31,0,1,0,0,0,0,1,0,0,0,0,1,0,1
mp-1039524,0.105600483888888,3.988290923707253,CeMg2,2.0,157.15347845881195,0.0,2.9839643,insertion,0.085526401666666,251.6204791355614,842.1622017595208,21.52019416610717,72.02710273616927,1.0,0.0,0.105600483888888,0.054633274999998,5.07105592,6,2.0,35.0,12.0,58.0,82.21050000000001,24.305,140.116,1.215,1.12,1.31,204.0,173.0,235.0,0.134350288425444,0.72,24.305,2,12,1.31,0,1,0,0,0,0,1,0,0,0,0,1,0,1
mp-1040469,0.106874973000004,4.731924392171149,KMoO3,3.0,64.23163890078015,0.0,1.0014023,insertion,-1.887210477500001,258.5250048385286,1015.9198609693884,-487.8910978270096,-1917.2546059217743,1.0,0.0,0.106874973000004,0.802374634583336,3.4840778,5,3.0,23.0,8.0,42.0,50.3491,15.999,95.95,2.14,0.82,3.44,212.0,152.0,275.0,1.3101144988129856,0.72,24.305,2,12,1.31,0,1,0,1,0,0,0,0,0,0,0,1,0,1
mp-1040472,0.067683724833328,6.940053084185971,KWO3,3.0,64.82668610173054,0.0,0.9996199,insertion,-0.971766943333333,96.45070631974122,598.4563929491344,-93.72760806267594,-581.5601396944726,1.0,0.0,0.067683724833328,0.458240575810186,3.91910418,5,3.0,33.666666666666664,8.0,74.0,79.64576666666666,15.999,183.84,2.2066666666666666,0.82,3.44,212.33333333333334,152.0,275.0,1.3167130793507495,0.76,6.941,1,3,0.98,1,0,0,1,0,0,0,0,0,0,0,1,0,1
mp-1040512,0.162771131853741,4.743828349045699,Nb3SiO10,3.0,163.3991200612647,0.0,1.0018975,insertion,0.9307634424999992,109.14796373883073,524.4604249509313,101.59093447141916,488.1485905823412,1.0,0.0,0.162771131853741,0.173040813277793,1.91350134,14,3.0,21.0,8.0,41.0,45.66345666666666,15.999,92.90637,2.313333333333333,1.6,3.44,189.66666666666666,152.0,210.0,0.9871845487715726,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,0,1,0,0,1,0,1
mp-1040783,0.17776532180556,6.710726532512534,Ho(SbO3)2,3.0,249.64613936208465,0.0,2.6e-05,insertion,0.017623715000003,101.37643106055104,654.8197408198633,1.786629328728663,11.54035648858549,1.0,0.0,0.17776532180556,0.294784213034724,5.63292562,18,3.0,42.0,8.0,67.0,100.89644333333332,15.999,164.93033,2.2399999999999998,1.23,3.44,191.33333333333334,152.0,216.0,1.1171839597846005,0.72,24.305,2,12,1.31,0,1,0,0,0,0,1,0,0,0,0,1,0,1
mp-1040819,0.082807812222123,6.583629106233408,LaCrWO6,4.0,237.4613687082955,0.7814000000000001,8.7e-06,insertion,-0.051996640000001,108.27941318049176,733.7067529689724,-5.630165666557433,-38.15028589969759,1.0,0.0,0.082807812222123,0.172594026500005,4.6215467100000005,18,4.0,40.75,8.0,74.0,97.685125,15.999,183.84,2.1399999999999997,1.1,3.44,197.75,152.0,240.0,1.0083650132764423,0.72,24.305,2,12,1.31,0,1,0,0,0,0,0,0,1,0,1,0,0,1
mp-1040836,0.172566893333333,4.713717901228673,LaCrCoO6,4.0,243.6574152138392,0.9386999999999992,8.0003077,insertion,1.357910477499996,144.8195754952175,800.956318718905,196.6520189120576,1087.6269772082276,2.0,0.8623221599999901,0.172566893333333,0.23019423391667,2.69841836,18,4.0,29.0,8.0,57.0,66.4584225,15.999,138.9055,2.02,1.1,3.44,193.25,152.0,240.0,1.0019980039900278,0.72,24.305,2,12,1.31,0,1,0,0,0,1,0,0,0,0,1,0,0,1
mp-1040838,0.078238484097219,8.031982933433834,Ho(BiO3)2,3.0,280.7075807132566,0.0,5.18e-05,insertion,1.231838444999998,76.22800409015696,611.0219811989165,93.90058602387246,752.6803671808915,2.0,0.6748111050000031,0.078238484097219,0.165027947687505,3.04486045,18,3.0,52.666666666666664,8.0,83.0,129.96991,15.999,208.9804,2.23,1.23,3.44,191.66666666666666,152.0,216.0,1.1198660634200859,0.72,24.305,2,12,1.31,0,1,0,0,0,0,1,0,0,0,0,1,0,1
mp-1040930,0.030462025384613,3.489603097211423,Mo2P2O9,3.0,757.2198442713222,1.6233,16.0004018,insertion,2.973126631666668,66.21522455035674,232.97170688193208,196.86624753245425,692.6543861555132,1.0,0.0,0.030462025384613,0.02099336660714,1.0113324,52,3.0,21.666666666666668,8.0,42.0,47.640920666666666,15.999,95.95,2.5966666666666662,2.16,3.44,180.33333333333334,152.0,209.0,0.7305021104235999,0.76,6.941,1,3,0.98,1,0,0,0,0,0,1,0,0,0,1,0,0,1
mp-1040954,0.053828681730771,3.182067994851768,Mn2P2O9,3.0,659.2297627069013,0.009,24.0028925,insertion,4.237850086666663,83.0386244073698,269.8939369522879,351.90524164145256,1143.7700441040602,1.0,0.0,0.053828681730771,0.024691294583343,0.48566756,52,3.0,16.0,8.0,25.0,33.97026733333333,15.999,54.93804,2.393333333333333,1.55,3.44,176.33333333333334,152.0,197.0,0.9612665256490175,0.76,6.941,1,3,0.98,1,0,0,0,0,0,1,0,0,0,1,0,0,1
