,theo_energy_vol,max_electronegativity,exp_energy_vol,crystal_system_Hexagonal,theoretical_False,atomic_weight_ion,energy_grav,ionic_radius_ion,avg_atomic_number,energy_vol,min_atomic_number,min_covalent_radius,crystal_system_Cubic,min_electronegativity,max_atomic_mass,nelements,max_covalent_radius,is_metal_False,stability_discharge,avg_atomic_mass,formula_pretty
2036,-0.1099370035744489,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.2130311051207419,-0.0131492908306707,-0.0703471579316378,-0.1099370035744489,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,0.2293893000574388,0.6657926694244705,0.0856150148260176,1,-0.2876958352681602,-0.081388647808139,Li4NbFe5O12
1674,0.6094376453953912,1.7241174339768628,0.0,0,0,-0.7034641555777603,0.4467803341832936,-0.0131492908306707,-0.0505142320189382,0.6094376453953912,-1.2905098173233371,-1.5543553622991026,0,-1.0181169576709177,0.5685423285500304,-0.6561991151099974,-0.8810966406168861,0,-0.3848149198838397,-0.0014905964360713,LiAg2F4
664,0.046818893700485,-0.0827529746914719,0.0,0,0,1.4429944633676537,-0.0644028645258569,-0.6780932454973677,1.258458878219227,0.046818893700485,0.4417349988383212,0.3820071422726114,0,1.6687620382347232,0.8834487840511414,-0.6561991151099974,0.0469465486083014,1,0.2995066609137857,1.2436413400335389,SbAsO5
266,-0.5508382675451023,-4.73377124885626,-0.0,0,0,-0.7034641555777603,-0.663785633081076,-0.0131492908306707,0.9411320636160352,-0.5508382675451023,-1.2905098173233371,-1.0987406553410524,1,-1.0181169576709177,0.8834487840511414,-0.6561991151099974,0.0469465486083014,1,0.8295479051995631,0.9510470874521504,LiZnSb
1487,-0.1741489193723212,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.0393713936028175,-0.0131492908306707,0.544473545362046,-0.1741489193723212,0.4417349988383212,0.3820071422726114,0,1.6687620382347232,0.8834487840511414,-0.6561991151099974,0.0469465486083014,1,-0.6831371848413259,0.5493393827937636,Sb(PO3)4
3311,0.1227620448661671,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.0736775536336105,-0.0131492908306707,-0.665334935312622,0.1227620448661671,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.6979746223395503,0.6657926694244705,-0.6104173770928731,1,-0.1528939951857848,-0.6241661219294274,LiVCrO4
3179,0.0445100357772228,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.1446895076872209,-0.0131492908306707,-0.814081879657868,0.0445100357772228,-1.2905098173233371,0.3820071422726114,0,-1.0181169576709177,-0.546165773182414,0.6657926694244705,0.201620413479166,1,-0.6091109854110405,-0.8156358655197617,Li3Si2(NiO4)2
1758,-0.3148999086024894,-0.0827529746914719,-0.0,0,0,-0.7034641555777603,-0.3049383890109953,-0.0131492908306707,-1.200823934955508,-0.3148999086024894,-1.983407743788,-3.2629105133917915,0,-1.0181169576709177,-0.721878225659873,1.9877844539589384,-0.8810966406168861,1,-0.29540516189181,-1.1123187681836784,LiVPHO5
3081,0.4888845217061386,-0.0827529746914719,0.0,0,0,-0.7034641555777603,0.4545085585264919,-0.0131492908306707,-0.0108483801935394,0.4888845217061386,0.4417349988383212,-0.9848369786015396,1,0.6140992547951258,-0.4360663883300605,-0.6561991151099974,-0.9971020392700346,1,-0.3262444863501941,-0.0548242030807487,V3CuO8
143,0.331451427299361,-0.0827529746914719,0.0,0,0,1.4429944633676537,-0.0303474576130616,-0.6780932454973677,-0.1893447134078346,0.331451427299361,0.4417349988383212,-0.9848369786015396,0,1.292096758434867,-0.4360663883300605,-1.9781908996444653,-2.0411506271483706,0,0.095826242187379,-0.2312440697575858,Cu9O13
